,year,Q,revenue,earnings,zRev,zEarnings,b,a,y_hat,residuals,squares,residual squares
12,2017.0,1.0,1283400000.0,8400000.0,0.6098563523487436,0.8157955335309915,0.5344759381771218,-754075561.5883343,-68129142.53181612,76529142.53181612,5.4631948601134216e+16,5856709656655028.0
13,2017.0,2.0,1202300000.0,-176500000.0,0.4417018728164285,0.17044616590003714,0.5344759381771218,-754075561.5883343,-111475141.11798072,-65024858.88201928,2384835992438563.5,4228232272626522.0
14,2017.0,3.0,1178700000.0,-42700000.0,0.3927691266146698,0.6374431663814957,0.5344759381771218,-754075561.5883343,-124088773.25896072,81388773.25896072,3.335546381852552e+16,6624132412598520.0
15,2017.0,4.0,1416800000.0,-276400000.0,0.8864507736756342,-0.17823096674643304,0.5344759381771218,-754075561.5883343,3169947.6210119724,-279569947.62101203,2607656427221171.5,7.815935561281538e+16
16,2018.0,1.0,1383600000.0,17700000.0,0.8176131815612956,0.8482549662998821,0.5344759381771218,-754075561.5883343,-14574653.526468515,32274653.526468515,5.906590555765596e+16,1041653260253586.6
17,2018.0,2.0,1442500000.0,22200000.0,0.9397377049207696,0.8639611434461195,0.5344759381771218,-754075561.5883343,16905979.232164025,5294020.767835975,6.1273468601134216e+16,28026655890278.6
18,2018.0,3.0,1221400000.0,-100400000.0,0.4813042224966655,0.43605507275085176,0.5344759381771218,-754075561.5883343,-101266650.69879758,866650.6987975836,1.5608699905482042e+16,751083433726.34
19,2018.0,4.0,1413300000.0,170600000.0,0.8791937986033395,1.381915963113148,0.5344759381771218,-754075561.5883343,1299281.837392092,169300718.1626079,1.5676435207939507e+17,2.8662733170374796e+16
20,2019.0,1.0,1200400000.0,-130200000.0,0.4377623720628971,0.3320452774268797,0.5344759381771218,-754075561.5883343,-112490645.40051724,-17709354.59948276,9050626862003782.0,313621240330221.2
21,2019.0,2.0,1506100000.0,49400000.0,1.0716073090916112,0.9588962586411544,0.5344759381771218,-754075561.5883343,50898648.90022898,-1498648.9002289772,7.547920077504725e+16,2245948526157.523
22,2019.0,3.0,1316800000.0,-54800000.0,0.6791086287529275,0.5952110011660574,0.5344759381771218,-754075561.5883343,-50277646.19670022,-4522353.803299777,2.908211207939509e+16,20451683922219.96
23,2019.0,4.0,1447700000.0,-13500000.0,0.9505194964567504,0.7393588047526362,0.5344759381771218,-754075561.5883343,19685254.11068499,-33185254.11068499,4.487397512287334e+16,1101261090390735.1
25,2020.0,2.0,18900000.0,-561200000.0,-2.0119850701988806,-1.1722574670238577,0.5344759381771218,-754075561.5883343,-743973966.3567866,182773966.3567866,1.1280544425330814e+17,3.3406322777791764e+16
26,2020.0,3.0,119500000.0,-905800000.0,-1.8033988724066383,-2.3750016102668368,0.5344759381771218,-754075561.5883343,-690205686.9761683,-215594313.02383173,4.6303291207939514e+17,4.648090780821794e+16
27,2020.0,4.0,162500000.0,-946100000.0,-1.7142417500898743,-2.515659152265364,0.5344759381771218,-754075561.5883343,-667223221.6345519,-278876778.3654481,5.195024986011343e+17,7.777225751149126e+16
28,2021.0,1.0,148300000.0,-567200000.0,-1.7436843346688988,-1.1931990365521743,0.5344759381771218,-754075561.5883343,-674812779.9566671,107612779.95666708,1.1687182686200379e+17,1.1580510410002044e+16
29,2021.0,2.0,444700000.0,-344000000.0,-1.1291222171179964,-0.4141726500987993,0.5344759381771218,-754075561.5883343,-516394111.88096815,172394111.88096815,1.4081433818525518e+16,2.9719729811227764e+16
30,2021.0,3.0,763200000.0,-224200000.0,-0.4687374855391761,0.003960688149920747,0.5344759381771218,-754075561.5883343,-346163525.57155484,121963525.57155484,1287731568998.1184,1.4875101569843312e+16
31,2021.0,4.0,1171700000.0,-134400000.0,0.3782551764700803,0.3173861787570581,0.5344759381771218,-754075561.5883343,-127830104.8262006,-6569895.17379941,8269134688090738.0,43163522594712.59
32,2022.0,1.0,785700000.0,-337400000.0,-0.4220855029315671,-0.3911369236176511,0.5344759381771218,-754075561.5883343,-334137816.96256965,-3262183.0374303465,1.2558612948960302e+16,10641838169698.277
33,2022.0,2.0,1166400000.0,-121600000.0,0.3672660427891769,0.36206152708413336,0.5344759381771218,-754075561.5883343,-130662827.29853928,9062827.29853928,1.0760905122873346e+16,82134838643148.8
34,2022.0,3.0,968400000.0,-226900000.0,-0.04327140415778213,-0.00546301813782169,0.5344759381771218,-754075561.5883343,-236489063.05760944,9589063.05760944,2449905482041.5757,91950130322810.08
35,2022.0,4.0,990900000.0,-287700000.0,0.003380578449826845,-0.2176709226914292,0.5344759381771218,-754075561.5883343,-224463354.44862416,-63236645.55137584,3889420340264650.0,3998873340590341.5
